time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,-16.656011,-49.384924,831.8,62,0
1,0,1,0.0,0.0,0,-16.656012,-49.384926,831.8,63,0
2,0,1,1.55,0.63,0,-16.656011,-49.38494,831.8,67,0
3,0,1,4.17,0.92,0,-16.656009,-49.384962,831.8,73,0
4,0,1,7.11,1.59,0,-16.656005,-49.384991,831.8,77,0
5,0,1,10.28,2.3,0,-16.656,-49.385025,831.7,80,0
6,0,1,13.66,2.87,1,-16.655994,-49.385061,831.7,83,9
7,0,1,17.2,3.37,1,-16.655986,-49.385098,831.6,83,3
8,0,1,20.88,3.7,1,-16.655977,-49.385135,831.6,83,3
9,0,1,24.7,3.96,2,-16.655967,-49.385173,831.6,85,3
10,0,1,28.64,4.17,2,-16.655957,-49.38521,831.6,86,3
11,0,1,32.61,4.17,2,-16.655947,-49.385248,831.5,89,2
12,0,1,36.63,4.17,2,-16.655937,-49.385286,831.5,90,3
13,0,1,40.68,4.13,3,-16.655927,-49.385323,831.5,93,3
14,0,1,44.74,4.1,3,-16.655918,-49.385361,831.5,95,3
15,0,1,48.81,3.99,3,-16.655909,-49.385398,831.5,98,3
16,0,1,52.89,3.97,4,-16.655901,-49.385436,831.4,99,2
17,0,1,56.99,3.97,4,-16.655893,-49.385473,831.4,101,3
18,0,1,61.13,3.96,4,-16.655886,-49.385511,831.4,103,3
19,0,1,65.3,4.04,5,-16.655879,-49.385548,831.3,106,3
20,0,1,69.49,4.07,5,-16.655872,-49.385585,831.3,110,3
21,0,1,73.71,4.11,5,-16.655865,-49.385622,831.3,112,3
22,0,1,77.93,4.14,6,-16.655858,-49.385659,831.2,113,3
23,0,1,82.15,4.05,6,-16.655852,-49.385696,831.2,114,3
24,0,1,86.37,4.05,6,-16.655845,-49.385733,831.1,117,2
25,0,1,90.59,4.06,7,-16.655839,-49.38577,831.1,118,3
26,0,1,94.81,4.05,7,-16.655832,-49.385806,831.1,119,3
27,0,1,99.03,4.05,7,-16.655825,-49.385843,831.0,121,3
